route,avg_price,from_city,to_city
Абакан-Красноярск,18000,Абакан,Красноярск
Астрахань-Москва,25000,Астрахань,Москва
Астрахань-Тольятти,31000,Астрахань,Тольятти
Астрахань-Тюмень,52000,Астрахань,Тюмень
Астрахань-Челябинск,35000,Астрахань,Челябинск
Ачинск-Ачинск,7000,Ачинск,Ачинск
Ачинск-Нижний Новгород,43000,Ачинск,Нижний Новгород
Баксан-Москва,30000,Баксан,Москва
Барнаул-Барнаул,4000,Барнаул,Барнаул
Барнаул-Красноярск,12000,Барнаул,Красноярск
Барнаул-Новосибирск,9000,Барнаул,Новосибирск
Боготол-Красноярск,5000,Боготол,Красноярск
Владивосток-Владивосток,78000,Владивосток,Владивосток
Владивосток-Екатеринбург,114000,Владивосток,Екатеринбург
Владивосток-Иркутск,80000,Владивосток,Иркутск
Владивосток-Казань,159000,Владивосток,Казань
Владивосток-Каменск-Шахтинский,215000,Владивосток,Каменск-Шахтинский
Владивосток-Краснодар,135000,Владивосток,Краснодар
Владивосток-Магадан,149000,Владивосток,Магадан
Владивосток-Москва,164000,Владивосток,Москва
Владивосток-Набережные Челны,180000,Владивосток,Набережные Челны
Владивосток-Нижний Новгород,157000,Владивосток,Нижний Новгород
Владивосток-Новосибирск,119000,Владивосток,Новосибирск
Владивосток-Омск,150000,Владивосток,Омск
Владивосток-Ростов-на-Дону,175000,Владивосток,Ростов-на-Дону
Владивосток-Санкт-Петербург,205000,Владивосток,Санкт-Петербург
Владивосток-Тольятти,163000,Владивосток,Тольятти
Владивосток-Тюмень,137000,Владивосток,Тюмень
Владивосток-Уфа,164000,Владивосток,Уфа
Владивосток-Челябинск,160000,Владивосток,Челябинск
Владикавказ-Владикавказ,8000,Владикавказ,Владикавказ
Владикавказ-Елец,25000,Владикавказ,Елец
Владикавказ-Москва,42000,Владикавказ,Москва
Владикавказ-Ростов-на-Дону,28000,Владикавказ,Ростов-на-Дону
Владикавказ-Санкт-Петербург,40000,Владикавказ,Санкт-Петербург
Владикавказ-Саратов,23000,Владикавказ,Саратов
Владикавказ-Тольятти,19000,Владикавказ,Тольятти
Владимир-Иркутск,60000,Владимир,Иркутск
Волгоград-Москва,90000,Волгоград,Москва
Волгоград-Тольятти,15000,Волгоград,Тольятти
Воронеж-Москва,10000,Воронеж,Москва
Геленджик-Краснодар,18000,Геленджик,Краснодар
Екатеринбург-Екатеринбург,9000,Екатеринбург,Екатеринбург
Екатеринбург-Красноярск,29000,Екатеринбург,Красноярск
Екатеринбург-Махачкала,55000,Екатеринбург,Махачкала
Екатеринбург-Москва,33000,Екатеринбург,Москва
Екатеринбург-Новосибирск,17000,Екатеринбург,Новосибирск
Екатеринбург-Омск,15000,Екатеринбург,Омск
Екатеринбург-Ростов-на-Дону,45000,Екатеринбург,Ростов-на-Дону
Екатеринбург-Тольятти,21000,Екатеринбург,Тольятти
Екатеринбург-Тюмень,12000,Екатеринбург,Тюмень
Елец-Краснодар,30000,Елец,Краснодар
Иркутск-Волгоград,100000,Иркутск,Волгоград
Иркутск-Екатеринбург,55000,Иркутск,Екатеринбург
Иркутск-Краснодар,90000,Иркутск,Краснодар
Иркутск-Красноярск,20000,Иркутск,Красноярск
Иркутск-Москва,85000,Иркутск,Москва
Иркутск-Мухоршибире,9000,Иркутск,Мухоршибире
Иркутск-Новосибирск,30000,Иркутск,Новосибирск
Иркутск-Омск,45000,Иркутск,Омск
Иркутск-Тольятти,63000,Иркутск,Тольятти
Иркутск-Тюмень,50000,Иркутск,Тюмень
Иркутск-Уфа,59000,Иркутск,Уфа
Иркутск-Хабаровск,13000,Иркутск,Хабаровск
Иркутск-Челябинск,55000,Иркутск,Челябинск
Казань-Екатеринбург,35000,Казань,Екатеринбург
Казань-Казань,5000,Казань,Казань
Казань-Москва,23000,Казань,Москва
Казань-Нижневартовск,63000,Казань,Нижневартовск
Казань-Новосибирск,40000,Казань,Новосибирск
Казань-Ногинск,15000,Казань,Ногинск
Казань-Омск,30000,Казань,Омск
Казань-Санкт-Петербург,27000,Казань,Санкт-Петербург
Казань-Тольятти,15000,Казань,Тольятти
Казань-Уфа,14000,Казань,Уфа
Казань-Челябинск,25000,Казань,Челябинск
Калининград-Санкт-Петербург,80000,Калининград,Санкт-Петербург
Кемерово-Иркутск,20000,Кемерово,Иркутск
Киров-Москва,23000,Киров,Москва
Краснодар-Екатеринбург,33000,Краснодар,Екатеринбург
Краснодар-Краснодар,5000,Краснодар,Краснодар
Краснодар-Мариуполь,20000,Краснодар,Мариуполь
Краснодар-Москва,19000,Краснодар,Москва
